SaleID,ProductKey,CustomerKey,DateKey,SalesAmount,Quantity,Timestamp
c0078cd1-3ddc-439a-b41d-7498e8e75e62,21,460,20240809,1639.1,18,2024-08-09 20:21:00
be8532af-16b7-432c-a13d-4c6e6836d12d,30,198,20241128,186.11,42,2024-11-28 05:01:00
8666f277-cc58-4fde-9d58-697da9e040f2,13,524,20241013,1712.72,49,2024-10-13 00:36:00
d9a7f974-9572-48dd-aa36-3f96b280dfc7,22,369,20240608,66.36,21,2024-06-08 19:58:00
d71733ac-4fc4-42e6-ae48-c2150c8a92ae,17,709,20241115,1705.51,31,2024-11-15 12:24:00
b7475afb-27f7-46fe-8bcd-c099c178d17f,48,929,20240828,1509.94,3,2024-08-28 05:43:00
427c33bb-dff7-4332-8d29-954728c713b1,21,983,20241022,1070.59,31,2024-10-22 15:17:00
812ad61f-2e80-4b95-ae02-a91976bd2baa,7,536,20240620,1097.0,2,2024-06-20 09:59:00
a18dadb3-b2e6-476e-b2fb-b4a477721bf0,6,164,20241115,683.83,38,2024-11-15 09:33:00
fb7031b8-6ea9-48f1-9a00-9bc178359f8d,18,955,20240707,1187.22,26,2024-07-07 00:55:00
16380106-881a-4b17-b7a6-cdb1cb7b0310,47,102,20240610,1660.55,37,2024-06-10 20:40:00
3b8b6be3-3531-4e99-bb88-f690abf80831,40,246,20241031,1285.76,12,2024-10-31 22:31:00
1c2ea051-0ea9-4464-9328-f005529e49b0,45,231,20241030,580.56,2,2024-10-30 09:54:00
385f4dc3-93d8-4aea-9448-9ae392f1c70f,13,266,20240922,1729.19,38,2024-09-22 19:51:00
65286b1d-53a6-4935-a98a-1cb1876e571e,19,558,20240928,1700.77,44,2024-09-28 12:04:00
a71af1cd-5827-45bc-9819-7b822084b056,5,267,20240729,1685.47,20,2024-07-29 14:48:00
fc2fbc9b-7dd9-47f9-8c88-f4657b809fda,24,647,20240817,960.8,37,2024-08-17 13:20:00
d5ffcbb0-4af7-471e-a978-8d26a139e065,31,99,20240820,1220.63,5,2024-08-20 12:26:00
0ca44dee-070d-4ba5-92f5-4294061c1b6a,3,152,20240912,415.25,29,2024-09-12 16:38:00
f97142ca-80a7-4ab5-8c96-7b0469fb88a5,28,36,20240909,1493.54,42,2024-09-09 02:48:00
58c1a7e8-29f1-4d4c-9888-cd673ceba8e6,28,23,20241101,1433.8,15,2024-11-01 03:59:00
eb6df0f0-19b3-4275-b39a-c35781dfdb4e,44,362,20240617,426.93,39,2024-06-17 01:40:00
3641c1a6-0bdb-4aaf-a3b0-458602903485,41,709,20241121,312.35,2,2024-11-21 11:15:00
136ab78d-42f8-4a6e-8943-2094d42bdd3f,4,743,20240920,416.27,4,2024-09-20 12:07:00
66bc9a58-2e6d-4348-92f8-f57474dc0de4,30,308,20241008,1679.89,38,2024-10-08 19:53:00
1268b62d-b2d7-4b7c-9b18-5560c7ebaa04,42,523,20240724,1660.59,5,2024-07-24 20:12:00
18014131-342b-49b5-907d-48a526417144,24,736,20240801,1314.46,6,2024-08-01 05:18:00
eb5a95a7-ce17-470a-b427-aa4c664392de,26,835,20240716,1298.54,12,2024-07-16 11:20:00
30b84bb4-7e58-4ca5-8fa2-1f623f55b3b5,6,140,20241115,318.78,22,2024-11-15 18:19:00
5f8bb866-d86e-4395-b3a5-58bf7600d3e6,12,355,20240720,407.13,12,2024-07-20 08:41:00
8268a6e7-968a-4445-80c5-b59d37e7e3b4,24,408,20241126,149.62,38,2024-11-26 06:12:00
d02bc4a1-62de-4e8b-8f8a-9e24face51cd,12,67,20240728,117.33,43,2024-07-28 06:47:00
7558e674-3185-4e8b-aac7-b69f696ff520,50,581,20240602,566.6,24,2024-06-02 09:56:00
4afa45a3-75ba-4560-b54b-2ecd125c7035,1,10,20241127,63.47,39,2024-11-27 03:22:00
bf9aa06a-da36-4664-83cd-7dfc777e6eb2,27,527,20241025,1116.63,3,2024-10-25 16:12:00
a92bb4e9-3082-4299-bee5-8027fe2d403a,31,811,20240919,1475.13,26,2024-09-19 09:17:00
bf55606a-74d3-41c4-8cef-0ca72e4a274e,7,755,20240628,1330.2,33,2024-06-28 11:37:00
a7df02f3-4b9a-4e9b-9113-9c9a5da29e37,16,219,20241117,327.25,26,2024-11-17 14:28:00
88fa37b6-09fd-4184-9721-208d5b212866,7,672,20241028,1828.59,39,2024-10-28 06:57:00
e0cc0f71-11f2-471b-a9b1-5d5124a9d96c,15,815,20240917,1601.49,10,2024-09-17 10:24:00
a256770c-db66-437d-9db8-6346f9d8d8ee,27,710,20241029,1803.84,23,2024-10-29 16:50:00
59329e7d-8f3b-46ba-9942-320f5da6f2d3,18,199,20240715,454.09,23,2024-07-15 20:25:00
eadd19f2-3559-4a99-ad07-393bc6bac4f5,46,750,20241115,920.92,24,2024-11-15 15:17:00
4e737a78-aeff-4adf-94a0-fef9dde62658,28,669,20241014,1173.01,49,2024-10-14 18:44:00
f19231fe-3de1-48b9-9efa-dc2884f65eec,23,705,20240612,70.83,46,2024-06-12 19:38:00
1c7278b6-d1be-4426-822a-0ef8039e013a,27,349,20240724,438.13,4,2024-07-24 05:39:00
a7073ff5-3730-4d09-a663-9d9901468c8f,45,519,20240801,187.88,12,2024-08-01 21:46:00
949dd381-1374-4c88-b015-203191c45582,29,255,20240725,1430.55,10,2024-07-25 23:46:00
7e2ee1e6-7d6e-4919-b4bf-513c9f1a5c3a,12,242,20240621,87.0,4,2024-06-21 04:19:00
1a53d0e8-0170-46b2-aa74-73a36f97db21,35,988,20241026,1369.19,13,2024-10-26 00:53:00
197d12b4-c030-4270-85c9-107b1400cdfa,47,719,20240804,547.12,34,2024-08-04 20:34:00
e63c465b-1899-4c98-9b0c-4418336d6bfd,10,300,20240818,630.2,38,2024-08-18 15:59:00
bc361bb9-cfab-4a32-8860-13d68c1e447d,18,232,20240812,534.62,24,2024-08-12 14:55:00
efd718d4-54bc-4be5-ba44-b7f8e84b488f,45,256,20240729,184.42,26,2024-07-29 08:45:00
9a14c492-be52-4068-90e0-67e2048aadb1,18,735,20241112,1107.99,34,2024-11-12 19:34:00
e574a566-b13b-40d4-962f-ef3b667e1e8f,35,292,20240626,111.07,11,2024-06-26 10:00:00
b9ffb5d6-253b-4d59-a363-02a6a51aaa22,10,64,20241105,1685.41,50,2024-11-05 10:59:00
b3a786d3-7ed0-4087-969b-d20c8a9c310f,41,749,20241031,1453.5,8,2024-10-31 07:48:00
0fb893e1-62a4-4668-88f8-eb5fc955dc37,16,390,20241106,1379.18,21,2024-11-06 17:32:00
d29c7619-8515-457d-b638-095a0360cfee,18,598,20241117,1897.31,14,2024-11-17 22:27:00
4ddf28d3-014d-4ae9-be7c-4f3b338a92c2,50,172,20240824,209.86,15,2024-08-24 02:47:00
023fab01-4ef7-462a-b12b-7eb26b6d301b,10,643,20240808,1125.76,8,2024-08-08 09:28:00
a022602d-50f9-438b-819e-6efb98149b43,38,265,20240923,74.77,3,2024-09-23 19:12:00
88de872f-a99a-4049-a5b9-ab2486c61260,34,854,20240621,321.19,3,2024-06-21 07:47:00
c03f2b6a-26b6-42bb-b8a2-256e2b359312,22,804,20241124,178.51,30,2024-11-24 01:54:00
446934cb-7db4-4452-8628-b1da6bc94992,50,490,20241010,706.35,35,2024-10-10 18:54:00
cc81a00e-42ee-4d00-b7bc-ff49f7ab5ebf,27,920,20241017,1499.29,26,2024-10-17 17:43:00
4d0dd941-70f4-4131-94c8-989e198f9555,9,668,20241125,1482.66,7,2024-11-25 02:48:00
5d76d2b3-7ccc-4236-9ec2-7afb2fab57a8,37,853,20240709,1681.72,46,2024-07-09 14:14:00
c20dbbdd-653d-47ca-88cf-968afaf87907,10,566,20240721,1680.94,17,2024-07-21 18:57:00
fc0e8cc9-73da-437a-92c6-012ca8ae0298,28,736,20240821,858.03,10,2024-08-21 05:46:00
1561b6c7-e70b-4a8a-b7b2-7f286d1d89b6,28,363,20240728,1395.9,20,2024-07-28 17:46:00
ac24fdb7-3dd3-4314-9b8f-c00d609fba9c,33,189,20240620,999.8,17,2024-06-20 01:06:00
547b1ca9-b13d-44c0-b035-b67e898ec083,49,267,20240604,109.49,25,2024-06-04 09:35:00
17712153-2a14-4934-8fb4-e96620512eda,16,760,20240725,1842.46,2,2024-07-25 11:05:00
76336300-e9cf-40aa-9ca2-2584acb6c756,6,261,20241001,1823.12,39,2024-10-01 12:50:00
3e15cf20-9455-4c7f-8f96-74c2cb314d0c,45,983,20240921,1704.28,48,2024-09-21 22:12:00
2b513981-aefe-4fdd-8e8c-e5162ffa3302,19,198,20241002,493.34,47,2024-10-02 02:12:00
43820e30-b97a-465e-ac58-224b28d47db5,26,856,20240803,1363.31,27,2024-08-03 08:22:00
9b021985-b81f-4247-b3f8-ed46c1889788,38,176,20241101,856.0,25,2024-11-01 03:16:00
e4e1c6ee-010c-4e8b-b537-c6c5e6d9ce72,4,400,20240803,1893.26,5,2024-08-03 02:48:00
60f762f9-080a-43ba-80e7-c999aea4d32c,11,261,20241121,1819.99,13,2024-11-21 13:06:00
1c428051-2b97-4fe5-a40b-161d41ab8e1e,20,134,20240709,724.72,17,2024-07-09 15:36:00
1eacc82d-1c09-43fd-8919-f561c55318ba,47,367,20240731,956.12,24,2024-07-31 16:27:00
922f3693-6f51-4b00-b592-5fe7a3b29b66,4,78,20240629,614.64,6,2024-06-29 11:22:00
f19345ff-66b2-479b-8911-f224d6ada62a,6,735,20241126,1185.03,38,2024-11-26 17:54:00
